Time (minutes),Intensity at 485 nm
2.5,6.95E-05
5,6.38E-05
7.5,5.97E-05
10,5.59E-05
12.5,5.67E-05
15,5.70E-05
17.5,5.76E-05
20,5.79E-05
22.5,5.76E-05
25,5.76E-05
27.5,5.78E-05
30,5.81E-05
32.5,5.81E-05
35,5.84E-05
37.5,5.87E-05
40,5.89E-05
42.5,5.87E-05
45,5.92E-05
47.5,5.99E-05
50,6.03E-05
52.5,6.00E-05
55,5.98E-05
57.5,5.97E-05
60,5.97E-05
62.5,5.98E-05
65,6.03E-05
67.5,6.09E-05
70,6.14E-05
72.5,6.14E-05
75,6.15E-05
77.5,6.15E-05
80,6.16E-05
82.5,6.17E-05
85,6.17E-05
87.5,6.16E-05
90,6.19E-05
92.5,6.23E-05
95,6.27E-05
97.5,6.28E-05
100,6.28E-05
102.5,6.27E-05
105,6.30E-05
107.5,6.35E-05
110,6.41E-05
112.5,6.45E-05
115,6.48E-05
117.5,6.46E-05
120,6.50E-05
122.5,6.56E-05
125,6.62E-05
127.5,6.63E-05
130,6.66E-05
132.5,6.67E-05
135,6.71E-05
137.5,6.73E-05
140,6.77E-05
142.5,6.79E-05
145,6.87E-05
147.5,6.94E-05
150,7.02E-05
152.5,7.03E-05
155,7.10E-05
157.5,7.16E-05
160,7.17E-05
162.5,7.10E-05
165,7.18E-05
167.5,7.33E-05
170,7.45E-05
172.5,7.43E-05
175,7.48E-05
177.5,7.51E-05
180,7.59E-05
182.5,7.64E-05
185,7.70E-05
187.5,7.70E-05
190,7.74E-05
192.5,7.77E-05
195,7.81E-05
197.5,7.81E-05
200,7.86E-05
202.5,7.92E-05
205,7.95E-05
207.5,7.92E-05
210,7.93E-05
212.5,7.97E-05
215,7.99E-05
217.5,7.97E-05
220,7.99E-05
222.5,8.01E-05
225,8.04E-05
227.5,8.04E-05
230,8.04E-05
232.5,8.02E-05
